sample_size,true_param,estimated_param,ci_lower,ci_upper
25,0.125,0.17461618234178136,0.10918985631751128,0.24004250836605143
25,0.125,0.1382357308330668,0.07283573911281994,0.20363572255331366
25,0.125,0.05,-0.34199279690801093,0.4419927969080108
25,0.125,0.1505302601498673,0.08414483806659535,0.21691568223313926
25,0.125,0.21402533853875857,0.14220726745502374,0.2858434096224934
25,0.125,0.05916812091902235,0.00033404141066312176,0.11800220042738156
25,0.125,0.1301019881251573,0.06577013208473505,0.19443384416557954
25,0.125,0.42969628906627916,0.3421532591409534,0.5172393189916049
25,0.125,0.05,-0.34199279690801093,0.4419927969080108
25,0.125,0.07859796770386632,0.009029888039386993,0.14816604736834563
25,0.125,0.5747577143315458,0.48065720062693484,0.6688582280361567
25,0.125,0.0904722674093405,0.028183311222874145,0.15276122359580685
25,0.125,0.1677018825102301,0.09902597997737701,0.23637778504308318
25,0.125,0.05799075133773365,-0.00018532558818976086,0.11616682826365704
25,0.125,0.05,-0.34199279690801093,0.4419927969080108
25,0.125,0.25084960103251963,0.17360493807622238,0.32809426398881686
25,0.125,0.07427766204518314,0.009594754820972315,0.13896056926939396
25,0.125,0.14407926266350343,0.07473673948361419,0.21342178584339266
25,0.125,0.05,-0.34199279690801093,0.4419927969080108
25,0.125,0.25032386845109234,0.17261564624593362,0.328032090656251
25,0.125,0.15411771400334912,0.07733941393987502,0.2308960140668232
25,0.125,0.37113738866232,0.2870772966009542,0.45519748072368577
25,0.125,0.12433760182438053,0.05965190471076122,0.18902329893799982
25,0.125,0.1962856426309818,0.12968629677899185,0.26288498848297176
25,0.125,0.166220034072195,0.101379644332002,0.23106042381238795
25,0.125,0.163464701104718,0.09956911358390101,0.22736028862553498
25,0.125,0.29456094330461957,0.22453515076971853,0.3645867358395206
25,0.125,0.4671017617099342,0.38393824020113626,0.5502652832187321
25,0.125,0.19293823920061554,0.12067032839984462,0.2652061500013864
25,0.125,0.6541471131549893,0.5617451198167983,0.7465491064931803
25,0.125,0.2186295710927793,0.14549692791711488,0.29176221426844373
