sample_size,true_param,estimated_param,ci_lower,ci_upper
25,0.125,0.25916818333812663,5.601127149287152e-05,0.5183622984956402
25,0.125,0.18406078626162126,8.683451122368532e-05,0.40144683954424115
25,0.125,0.10658761895059352,0.0005249187312792177,0.25334236681007094
25,0.125,0.1623266357769182,0.00125184387366047,0.3542930946185285
25,0.125,0.15752955370714192,0.0011290474108246035,0.35714788495503713
25,0.125,0.11260219834033727,0.00016953867831968547,0.2590528435405151
25,0.125,0.09412591145381452,0.0006692791458406365,0.2296739770557662
25,0.125,0.3946812311754486,0.02113029778231361,0.7339258699619386
25,0.125,0.24733162292592797,0.013264769542591,0.5036771913623034
25,0.125,0.3433232429399546,0.00011691765915627079,0.6655782092553261
50,0.125,0.6229045307419169,0.27821903593344555,0.9080902248782493
50,0.125,0.21007419913876121,0.0021433771095929633,0.40291158395875004
50,0.125,0.14020595781323875,0.001956100403271157,0.2906780271533815
50,0.125,0.21813426328458121,0.011069813630049772,0.4136886338155013
50,0.125,0.24386889655111685,0.040860595253148876,0.4649939131596052
50,0.125,0.06862845716010767,0.0001597284379145507,0.1607294620652506
50,0.125,0.1674071611461582,0.0011934344486832498,0.33306162894729135
50,0.125,0.12965547366749336,0.0009971526512314946,0.28014618787531936
50,0.125,0.0822956591990364,1.1292265387391395e-05,0.2035416333809472
50,0.125,0.15688490743522043,0.004180591102095019,0.3264274265526038
100,0.125,0.35042497346059714,0.156848716245548,0.541213753575031
100,0.125,0.19265747346285725,0.0225941314262009,0.3337680828901497
100,0.125,0.12161703894618654,0.0015977387568473214,0.24034521130531553
100,0.125,0.16727808162705282,0.01335276987166121,0.3099018358937714
100,0.125,0.08390069427986761,0.0004798053811486813,0.17931225452895827
100,0.125,0.1881255168127676,0.026483903682716234,0.3525506947332308
100,0.125,0.14682392794238627,0.0018439787677981816,0.28644411052318774
100,0.125,0.12541288693061017,0.0008445922490885865,0.24328824056416753
100,0.125,0.1451035587635537,0.0027278570403987865,0.2592047150988371
100,0.125,0.2225151775938814,0.04791306653964574,0.3899734569681018
200,0.125,0.18039540830332376,0.052069159886490524,0.2948033203253484
200,0.125,0.10482917554437217,0.004387032293975234,0.19855213233646296
200,0.125,0.18111526131204886,0.05466451146525099,0.2914964950059019
200,0.125,0.23350272515790121,0.10668660426274558,0.35563318436360764
200,0.125,0.10038971783936343,0.0011313141359445237,0.18560704453283156
200,0.125,0.08903471675640615,0.0010368773471377177,0.1776176751491916
200,0.125,0.09570512491630141,0.0013279785940440826,0.18601584618714556
200,0.125,0.11488875709712157,0.008326125427114708,0.20276263642198603
200,0.125,0.10533336374108061,0.018879171091302785,0.19693167400588057
200,0.125,0.1583779884237769,0.04331479116499491,0.2791800977012056
400,0.125,0.12905027844568653,0.04399866473090161,0.20384467330109216
400,0.125,0.20500320851994244,0.1083097916302827,0.2905394935456534
400,0.125,0.1515349912566127,0.06856745461065676,0.23070544471055357
400,0.125,0.2123431310542751,0.11915243040388496,0.30018727419733826
400,0.125,0.0905689709794206,0.018112824776335402,0.16230727833098021
400,0.125,0.07003650291863954,9.242168525230455e-07,0.12416098360999794
400,0.125,0.08174845086614835,0.015613135728878461,0.15292082611253122
400,0.125,0.11134205915924707,0.04028079995040767,0.19772728085840538
400,0.125,0.10205424367098245,0.030899201173236683,0.18204879239851374
400,0.125,0.20306026700143365,0.11857328734131978,0.2952982528104343
25,0.6,0.40137352219870526,0.0031848930412631863,0.7503300007651478
25,0.6,0.5841301941786322,0.15400588519891095,1.0280105584811097
25,0.6,0.5891864521901996,0.06043913552650167,0.9975490560053272
25,0.6,0.6135478225916815,0.0834042554585543,1.0926001393369145
25,0.6,0.3310100015181115,0.013238437838811474,0.6331646105071702
25,0.6,0.4285044598204264,0.02658985149714478,0.8057310619391964
25,0.6,0.3435114854482019,0.0004730797049840542,0.6614510425549883
25,0.6,0.8971539268790564,0.26545735164738327,1.4766553130610374
25,0.6,1.227294403990406,0.5991894180156695,1.870081315968417
25,0.6,0.36883775250436357,0.019591960701303267,0.6822012650818251
50,0.6,0.4917751990561285,0.2261257928699773,0.7962472783928575
50,0.6,0.4591636599929799,0.16981747823044555,0.7863798672950476
50,0.6,0.416790601214715,0.07619751172702398,0.715112269056186
50,0.6,0.417374773598271,0.12160313507516311,0.7281151762042495
